ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
836,AF,Issued,2022AF358,LND,07-Jan-2022,18-Feb-2022,42,42
337,AF,Issued,2022AF1288,ABJ,11-Jan-2022,03-Feb-2022,23,23
207,AF,Issued,2022AF1562,PRS,12-Jan-2022,26-Jan-2022,14,14
3815,AF,Issued,2022AF1689,JRS,13-Jan-2022,2022-May-11,118,118
1903,AF,Issued,2022AF2840,TNS,12-Jan-2022,2022-Mar-23,70,70
346,AF,Issued,2022AF3415,ALG,11-Jan-2022,02-Feb-2022,22,22
348,AF,Issued,2022AF3840,ALG,12-Jan-2022,02-Feb-2022,21,21
8,AF,Ready,2022AF4027,CSB,2022-01-01,10-Jan-2022,8,8
9,AF,Refused,2022AF4270,PRS,12-Jan-2022,,,598
3106,AF,Ready,2022AF4617,HRE,11-Jan-2022,2022-May-06,115,115
119,AF,Refused,2022AF4892,FTN,13-Jan-2022,20-Jan-2022,7,7
2138,AF,Issued,2022AF5774,TKY,12-Jan-2022,2022-Apr-01,79,79
352,AF,Issued,2022AF6578,ALG,04-Jan-2022,03-Feb-2022,30,30
3139,AF,Refused,2022AF6723,CSB,07-Jan-2022,2022-Apr-20,103,103
353,AF,Issued,2022AF6774,BCH,06-Jan-2022,01-Feb-2022,26,26
1923,AF,Issued,2022AF8185,BDP,13-Jan-2022,2022-Mar-23,69,69
124,AF,Administrative Processing,2022AF8288,TNS,12-Jan-2022,21-Jan-2022,9,9
18,AF,Refused,2022AF9111,LND,07-Jan-2022,,,603
14822,AF,Issued,2022AF10342,AMM,13-Jan-2022,2022-Sep-14,244,244
546,AF,Issued,2022AF10640,RDJ,05-Jan-2022,11-Feb-2022,37,37
732,AF,Administrative Processing,2022AF12076,MST,11-Jan-2022,16-Feb-2022,36,36
7620,AF,Issued,2022AF12246,TNS,12-Jan-2022,2022-Jul-07,176,176
735,AF,Ready,2022AF13402,MST,11-Jan-2022,16-Feb-2022,36,36
366,AF,Issued,2022AF13673,ALG,04-Jan-2022,01-Feb-2022,28,28
370,AF,Issued,2022AF14364,ALG,11-Jan-2022,02-Feb-2022,22,22
371,AF,Issued,2022AF14524,ALG,11-Jan-2022,03-Feb-2022,23,23
372,AF,Issued,2022AF14765,ALG,11-Jan-2022,01-Feb-2022,21,21
3880,AF,Issued,2022AF14786,ALG,14-Jan-2022,2022-May-10,116,116
375,AF,Issued,2022AF15153,ALG,04-Jan-2022,01-Feb-2022,28,28
376,AF,Issued,2022AF15380,ALG,04-Jan-2022,01-Feb-2022,28,28
378,AF,Issued,2022AF15409,ALG,04-Jan-2022,01-Feb-2022,28,28
387,AF,Issued,2022AF16693,ALG,11-Jan-2022,02-Feb-2022,22,22
393,AF,Ready,2022AF17683,ALG,11-Jan-2022,03-Feb-2022,23,23
394,AF,Issued,2022AF17853,ALG,04-Jan-2022,02-Feb-2022,29,29
396,AF,Issued,2022AF18195,ALG,04-Jan-2022,03-Feb-2022,30,30
397,AF,Issued,2022AF18265,ALG,11-Jan-2022,02-Feb-2022,22,22
964,AS,Issued,2022AS475,TKY,12-Jan-2022,23-Feb-2022,42,42
1729,AS,Issued,2022AS565,TKY,12-Jan-2022,18-Mar-2022,65,65
11865,AS,Administrative Processing,2022AS1194,RID,12-Jan-2022,2022-Aug-18,218,218
2824,AS,Administrative Processing,2022AS1913,JRS,11-Jan-2022,2022-Apr-14,93,93
146,AS,Issued,2022AS1914,SGP,11-Jan-2022,19-Jan-2022,8,8
12762,AS,Issued,2022AS2342,ANK,11-Jan-2022,2022-Aug-22,223,223
583,AS,Administrative Processing,2022AS2593,RNG,10-Jan-2022,10-Feb-2022,31,31
149,AS,Administrative Processing,2022AS3056,BRS,04-Jan-2022,21-Jan-2022,17,17
16158,AS,Issued,2022AS3118,RID,03-Jan-2022,2022-Sep-21,261,261
150,AS,Ready,2022AS3273,JRS,14-Jan-2022,21-Jan-2022,7,7
587,AS,Issued,2022AS3336,SGP,05-Jan-2022,09-Feb-2022,35,35
4984,AS,Issued,2022AS3513,ISL,14-Jan-2022,2022-May-27,133,133
9283,AS,Issued,2022AS3902,YRV,12-Jan-2022,2022-Jul-26,195,195
2220,AS,Administrative Processing,2022AS4432,JAK,12-Jan-2022,2022-Apr-01,79,79
589,AS,Administrative Processing,2022AS4629,DJI,13-Jan-2022,10-Feb-2022,28,28
3406,AS,Issued,2022AS5653,ISL,13-Jan-2022,2022-Apr-29,106,106
155,AS,Ready,2022AS7869,LND,13-Jan-2022,18-Jan-2022,5,5
318,EU,Issued,2022EU169,PRI,11-Jan-2022,31-Jan-2022,20,20
871,EU,Issued,2022EU237,CHS,11-Jan-2022,18-Feb-2022,38,38
421,EU,Ready,2022EU247,VIL,13-Jan-2022,04-Feb-2022,22,22
57,EU,Issued,2022EU268,CHS,2022-01-01,13-Jan-2022,11,11
158,EU,Issued,2022EU418,WRW,14-Jan-2022,18-Jan-2022,4,4
159,EU,Issued,2022EU459,WRW,05-Jan-2022,19-Jan-2022,14,14
60,EU,Issued,2022EU512,KEV,2022-01-01,10-Jan-2022,8,8
622,EU,Issued,2022EU580,CHS,14-Jan-2022,09-Feb-2022,26,26
62,EU,Refused,2022EU897,WRW,10-Jan-2022,,,600
2890,EU,Issued,2022EU899,WRW,03-Jan-2022,2022-Apr-12,99,99
162,EU,Ready,2022EU974,ATH,13-Jan-2022,20-Jan-2022,7,7
268,EU,Ready,2022EU1017,TIA,14-Jan-2022,28-Jan-2022,14,14
163,EU,Issued,2022EU1151,SEO,11-Jan-2022,20-Jan-2022,9,9
