ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
1,AF,AP,2023AF351,KHT,2023-01-01,2023-Jan-04,2,2
2,AF,Refused221g,2023AF527,BMB,2023-Jan-05,,,240
3,AF,AP,2023AF618,ACC,2023-01-01,2023-Jan-06,4,4
4,AF,Issued,2023AF1726,ADD,2023-01-01,2023-Jan-06,4,4
5,AF,Issued,2023AF1816,ACC,2023-01-01,2023-Jan-04,2,2
6,AF,AP,2023AF2425,CSB,2023-01-01,2023-Jan-05,3,3
11935,AF,Issued,2023AF4210,ANK,2023-Jan-06,2023-Jul-25,200,200
8,AF,AP,2023AF5523,DOH,2023-01-01,2023-Jan-03,1,1
9,AF,Ready,2023AF5834,CSB,2023-01-01,2023-Jan-05,3,3
7325,AF,Issued,2023AF6143,YDE,2023-Jan-05,2023-May-16,131,131
11,AF,Issued,2023AF7230,LOM,2023-01-01,2023-Jan-04,2,2
7914,AF,Issued,2023AF7467,YDE,2023-Jan-05,2023-May-24,139,139
6704,AF,Issued,2023AF7642,YDE,2023-Jan-06,2023-May-12,126,126
1022,AF,Issued,2023AF8083,YDE,2023-Jan-03,2023-Feb-01,29,29
4353,AF,AP,2023AF8463,YDE,2023-Jan-05,2023-Apr-06,91,91
16,AF,AP,2023AF8706,CSB,2023-01-01,2023-Jan-04,2,2
17,AF,AP,2023AF9135,CSB,2023-01-01,2023-Jan-05,3,3
18,AF,Refused,2023AF10215,YDE,2023-Jan-03,,,242
223,AF,Issued,2023AF10380,NPL,2023-Jan-04,2023-Jan-11,7,7
224,AF,Issued,2023AF10416,LOM,2023-Jan-04,2023-Jan-13,9,9
21,AF,AP,2023AF11517,CSB,2023-01-01,2023-Jan-04,2,2
22,AF,AP,2023AF11598,CSB,2023-01-01,2023-Jan-04,2,2
1436,AF,Issued,2023AF11662,GUZ,2023-Jan-06,2023-Feb-10,35,35
2755,AF,Issued,2023AF12265,GUZ,2023-Jan-06,2023-Mar-10,63,63
5838,AF,Issued,2023AF13492,LOM,2023-Jan-04,2023-Apr-26,112,112
536,AF,Issued,2023AF13658,LOM,2023-Jan-05,2023-Jan-19,14,14
14383,AF,Issued,2023AF14793,NPL,2023-Jan-04,2023-Aug-31,239,239
266,AF,Issued,2023AF19790,JRS,2023-Jan-05,2023-Jan-12,7,7
29,AS,Refused221g,2023AS118,KDU,2023-Jan-04,,,241
3696,AS,Issued,2023AS380,BRT,2023-Jan-04,2023-Mar-23,78,78
12601,AS,Issued,2023AS430,BGH,2023-Jan-05,2023-Aug-03,210,210
9081,AS,Issued,2023AS550,BGH,2023-Jan-05,2023-Jun-07,153,153
33,AS,Ready,2023AS746,RID,2023-01-01,2023-Jan-05,3,3
34,AS,Issued,2023AS1440,DJI,2023-01-01,2023-Jan-04,2,2
7004,AS,Issued,2023AS1598,RID,2023-Jan-04,2023-May-08,124,124
289,AS,Issued,2023AS1722,KDU,2023-Jan-04,2023-Jan-12,8,8
839,AS,AP,2023AS1759,KDU,2023-Jan-04,2023-Jan-25,21,21
290,AS,Issued,2023AS1828,KDU,2023-Jan-06,2023-Jan-12,6,6
39,AS,Refused221g,2023AS1977,ISL,2023-Jan-06,,,239
40,AS,Refused,2023AS2108,DJI,2023-01-01,2023-Jan-02,,
41,AS,Refused221g,2023AS2126,ISL,2023-Jan-06,,,239
1559,AS,Issued,2023AS2273,AMM,2023-Feb-02,2023-Feb-05,3,3
43,AS,Refused221g,2023AS2403,ISL,2023-Jan-06,,,239
1126,AS,Issued,2023AS2479,KDU,2023-Jan-04,2023-Jan-31,27,27
2530,AS,AP,2023AS2519,SGP,2023-Jan-03,2023-Mar-03,59,59
848,AS,AP,2023AS2546,KDU,2023-Jan-04,2023-Jan-27,23,23
849,AS,AP,2023AS2663,KDU,2023-Jan-06,2023-Jan-25,19,19
48,AS,Issued,2023AS2814,DJI,2023-01-01,2023-Jan-04,2,2
309,AS,AP,2023AS2987,KDU,2023-Jan-04,2023-Jan-11,7,7
4499,AS,Refused,2023AS3055,KDU,2023-Jan-04,2023-Apr-04,90,90
854,AS,Issued,2023AS3114,KDU,2023-Jan-06,2023-Jan-23,17,17
3716,AS,AP,2023AS3406,KDU,2023-Jan-04,2023-Mar-24,79,79
14675,AS,AP,2023AS3467,ISL,2023-Jan-05,2023-Sep-01,239,239
2910,AS,AP,2023AS3645,KDU,2023-Jan-06,2023-Mar-09,62,62
3317,AS,Issued,2023AS3668,KDU,2023-Jan-06,2023-Mar-15,68,68
863,AS,Issued,2023AS3863,BRT,2023-Jan-05,2023-Jan-26,21,21
